Modified_enzyme,Core_enzyme,Modifications,Source
VC_1134-MONOMER_mod_pydx5p(1),VC_1134-MONOMER,pydx5p(1),Homology
VC_1135-MONOMER_mod_mg2(1),VC_1135-MONOMER,mg2(1),Homology
VC_1135-MONOMER_mod_mn2(1),VC_1135-MONOMER,mn2(1),Homology
VC_1159-MONOMER_mod_pydx5p(1),VC_1159-MONOMER,pydx5p(1),Homology
VC_1188-MONOMER_mod_mn2(1),VC_1188-MONOMER,mn2(1),Homology
VC_1188-MONOMER_mod_mg2(1),VC_1188-MONOMER,mg2(1),Homology
VC_1215-MONOMER_mod_mg2(1),VC_1215-MONOMER,mg2(1),Homology
VC_1228-MONOMER_mod_mg2(1),VC_1228-MONOMER,mg2(1),Homology
VC_1231-MONOMER_mod_zn2(1),VC_1231-MONOMER,zn2(1),Homology
VC_1257-MONOMER_mod_zn2(1),VC_1257-MONOMER,zn2(1),Homology
VC_1263-MONOMER_mod_mg2(1),VC_1263-MONOMER,mg2(1),Homology
VC_1293-MONOMER_mod_pydx5p(1),VC_1293-MONOMER,pydx5p(1),Homology
VC_1336-MONOMER_mod_mg2(1),VC_1336-MONOMER,mg2(1),Homology
VC_1338-MONOMER_mod_4fe4s(1),VC_1338-MONOMER,4fe4s(1),Homology
VC_1432-MONOMER_mod_4fe4s(1),VC_1432-MONOMER,4fe4s(1),Homology
VC_1491-MONOMER_mod_fmn(1),VC_1491-MONOMER,fmn(1),Homology
VC_1526-MONOMER_mod_mg2(1),VC_1526-MONOMER,mg2(1),Homology
VC_1526-MONOMER_mod_mn2(1),VC_1526-MONOMER,mn2(1),Homology
VC_1560-MONOMER_mod_pheme(1),VC_1560-MONOMER,pheme(1),Homology
VC_1585-MONOMER_mod_hemed(6),VC_1585-MONOMER,hemed(6),Homology
VC_1595-MONOMER_mod_mg2(1),VC_1595-MONOMER,mg2(1),Homology
VC_1671-MONOMER_mod_pydx5p(1),VC_1671-MONOMER,pydx5p(1),Homology
VC_1704-MONOMER_mod_zn2(1),VC_1704-MONOMER,zn2(1),Homology
VC_1833-MONOMER_mod_4fe4s(1),VC_1833-MONOMER,4fe4s(1),Homology
VC_1848-MONOMER_mod_zn2(1),VC_1848-MONOMER,zn2(1),Homology
VC_1866-MONOMER_mod_glycyl(1),VC_1866-MONOMER,glycyl(1),Homology
VC_1875-MONOMER_mod_mg2(1),VC_1875-MONOMER,mg2(1),Homology
VC_1877-MONOMER_mod_mg2(1),VC_1877-MONOMER,mg2(1),Homology
VC_1878-MONOMER_mod_mg2(1),VC_1878-MONOMER,mg2(1),Homology
VC_1886-MONOMER_mod_mg2(1),VC_1886-MONOMER,mg2(1),Homology
VC_1916-MONOMER_mod_mg2(1),VC_1916-MONOMER,mg2(1),Homology
VC_1971-MONOMER_mod_mg2(1),VC_1971-MONOMER,mg2(1),Homology
VC_1972-MONOMER_mod_mg2(1),VC_1972-MONOMER,mg2(1),Homology
VC_1973-MONOMER_mod_hco3(1),VC_1973-MONOMER,hco3(1),Homology
VC_1975-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1),VC_1975-MONOMER,mg2(1) AND mn2(1) AND thmpp(1),Homology
VC_1976-MONOMER_mod_mg2(1),VC_1976-MONOMER,mg2(1),Homology
VC_1978-MONOMER_mod_cobalt2(1),VC_1978-MONOMER,cobalt2(1),Homology
VC_1984-MONOMER_mod_mg2(5),VC_1984-MONOMER,mg2(5),Homology
