Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS01280-MONOMER	USA300HOU_RS01280	PTS galactitol transporter subunit IIB	CCI-CYTOSOL-GP
USA300HOU_RS11630-MONOMER	USA300HOU_RS11630	PTS mannitol transporter subunit IICB	CCI-PM-BAC-POS-GP
USA300HOU_RS10850-MONOMER	USA300HOU_RS10850	hypothetical protein	
USA300HOU_RS06675-MONOMER	USA300HOU_RS06675	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13230-MONOMER	USA300HOU_RS13230	protein flp	CCI-PM-BAC-POS-GP
USA300HOU_RS12740-MONOMER	USA300HOU_RS12740	hypothetical protein	
USA300HOU_RS10785-MONOMER	USA300HOU_RS10785	DUF1108 domain-containing protein	
USA300HOU_RS02095-MONOMER	USA300HOU_RS02095	DUF1304 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04025-MONOMER	USA300HOU_RS04025	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01145-MONOMER	USA300HOU_RS01145	lipoprotein	CCI-PM-BAC-POS-GP
USA300HOU_RS09320-MONOMER	USA300HOU_RS09320	NAD(P)/FAD-dependent oxidoreductase	
USA300HOU_RS14335-MONOMER	USA300HOU_RS14335	peptidase M4 family protein	
USA300HOU_RS02215-MONOMER	USA300HOU_RS02215	tandem-type lipoprotein Lpl5	
USA300HOU_RS01315-MONOMER	USA300HOU_RS01315	tagB protein	
USA300HOU_RS10215-MONOMER	USA300HOU_RS10215	YihY/virulence factor BrkB family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04200-MONOMER	USA300HOU_RS04200	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	CCI-CYTOSOL-GP
USA300HOU_RS14640-MONOMER	USA300HOU_RS14640	arylamine N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS10185-MONOMER	USA300HOU_RS10185	radical SAM/CxCxxxxC motif protein YfkAB	CCI-CYTOSOL-GP
USA300HOU_RS00560-MONOMER	USA300HOU_RS00560	EamA/RhaT family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS12945-MONOMER	USA300HOU_RS12945	respiratory nitrate reductase subunit gamma	CCI-PM-BAC-POS-GP
USA300HOU_RS04565-MONOMER	USA300HOU_RS04565	DUF72 domain-containing protein	
USA300HOU_RS10375-MONOMER	USA300HOU_RS10375	NETI motif-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS09180-MONOMER	USA300HOU_RS09180	penicillin-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS15230-MONOMER	USA300HOU_RS15230	hypothetical protein	
USA300HOU_RS06205-MONOMER	USA300HOU_RS06205	chromosome segregation protein SMC	CCI-CYTOSOL-GP
USA300HOU_RS15430-MONOMER	USA300HOU_RS15430	hypothetical protein	
USA300HOU_RS10295-MONOMER	USA300HOU_RS10295	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09495-MONOMER	USA300HOU_RS09495	S-adenosylmethionine synthase	CCI-CYTOSOL-GP
USA300HOU_RS15345-MONOMER	USA300HOU_RS15345	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00835-MONOMER	USA300HOU_RS00835	O-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS13375-MONOMER	USA300HOU_RS13375	nickel ABC transporter, nickel/metallophore periplasmic binding protein	CCI-CW-BAC-POS-GP
USA300HOU_RS12590-MONOMER	USA300HOU_RS12590	sodium:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS14715-MONOMER	USA300HOU_RS14715	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	CCI-CYTOSOL-GP
USA300HOU_RS07030-MONOMER	USA300HOU_RS07030	peptide ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS00635-MONOMER	USA300HOU_RS00635	siderophore biosynthesis protein SbnG	CCI-CYTOSOL-GP
USA300HOU_RS04940-MONOMER	USA300HOU_RS04940	tryptophan--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS11435-MONOMER	USA300HOU_RS11435	peptide chain release factor 1	CCI-CYTOSOL-GP
USA300HOU_RS09725-MONOMER	USA300HOU_RS09725	hypothetical protein	
USA300HOU_RS08820-MONOMER	USA300HOU_RS08820	aminopeptidase	CCI-PM-BAC-POS-GP
USA300HOU_RS06600-MONOMER	USA300HOU_RS06600	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12305-MONOMER	USA300HOU_RS12305	molybdopterin-guanine dinucleotide biosynthesis protein B	CCI-CYTOSOL-GP
USA300HOU_RS01575-MONOMER	USA300HOU_RS01575	TIGR01741 family protein	CCI-CYTOSOL-GP
USA300HOU_RS11470-MONOMER	USA300HOU_RS11470	fructose-bisphosphate aldolase	CCI-CYTOSOL-GP
USA300HOU_RS08860-MONOMER	USA300HOU_RS08860	GTP-binding protein	
USA300HOU_RS08370-MONOMER	USA300HOU_RS08370	diacylglycerol kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS00380-MONOMER	USA300HOU_RS00380	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13065-MONOMER	USA300HOU_RS13065	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS08910-MONOMER	USA300HOU_RS08910	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS08025-MONOMER	USA300HOU_RS08025	hypothetical protein	
USA300HOU_RS10870-MONOMER	USA300HOU_RS10870	bi-component leukocidin LukGH subunit G	CCI-EXTRACELLULAR-GP
CPLX1OEB-6	USA300HOU_RS12380 // USA300HOU_RS12385 // USA300HOU_RS12390	urease	
USA300HOU_RS07785-MONOMER	USA300HOU_RS07785	ATP-dependent helicase	
USA300HOU_RS05265-MONOMER	USA300HOU_RS05265	quinol oxidase subunit 4	CCI-PM-BAC-POS-GP
USA300HOU_RS05745-MONOMER	USA300HOU_RS05745	succinate dehydrogenase flavoprotein subunit	CCI-CYTOSOL-GP
USA300HOU_RS06430-MONOMER	USA300HOU_RS06430	DNA translocase FtsK	CCI-PM-BAC-POS-GP
USA300HOU_RS04885-MONOMER	USA300HOU_RS04885	DUF3899 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08135-MONOMER	USA300HOU_RS08135	exodeoxyribonuclease 7 small subunit	CCI-CYTOSOL-GP
USA300HOU_RS07070-MONOMER	USA300HOU_RS07070	phosphate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00200-MONOMER	USA300HOU_RS00200	recombinase RecA	CCI-CYTOSOL-GP
USA300HOU_RS14280-MONOMER	USA300HOU_RS14280	alkaline phosphatase	CCI-EXTRACELLULAR-GP
USA300HOU_RS08065-MONOMER	USA300HOU_RS08065	hypothetical protein	
USA300HOU_RS01025-MONOMER	USA300HOU_RS01025	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12380-MONOMER	USA300HOU_RS12380	urease subunit gamma	CCI-CYTOSOL-GP
USA300HOU_RS07565-MONOMER	USA300HOU_RS07565	hypothetical protein	
USA300HOU_RS07755-MONOMER	USA300HOU_RS07755	Clp protease ClpP	
USA300HOU_RS12520-MONOMER	USA300HOU_RS12520	transposase	
USA300HOU_RS05685-MONOMER	USA300HOU_RS05685	RNA methyltransferase	
USA300HOU_RS08290-MONOMER	USA300HOU_RS08290	superoxide dismutase	CCI-EXTRACELLULAR-GP
USA300HOU_RS10450-MONOMER	USA300HOU_RS10450	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10715-MONOMER	USA300HOU_RS10715	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00465-MONOMER	USA300HOU_RS00465	transcriptional regulator	
USA300HOU_RS10670-MONOMER	USA300HOU_RS10670	phage portal protein	
USA300HOU_RS12335-MONOMER	USA300HOU_RS12335	molybdate ABC transporter permease subunit	CCI-PM-BAC-POS-GP
USA300HOU_RS14920-MONOMER	USA300HOU_RS14920	hypothetical protein	
USA300HOU_RS10255-MONOMER	USA300HOU_RS10255	hypothetical protein	
USA300HOU_RS13320-MONOMER	USA300HOU_RS13320	Txe/YoeB family addiction module toxin	
USA300HOU_RS01965-MONOMER	USA300HOU_RS01965	toxin	
USA300HOU_RS15605-MONOMER	USA300HOU_RS15605	hypothetical protein	
USA300HOU_RS15665-MONOMER	USA300HOU_RS15665	hypothetical protein	
USA300HOU_RS03465-MONOMER	USA300HOU_RS03465	glycosyl transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS13700-MONOMER	USA300HOU_RS13700	peptide ABC transporter permease	
USA300HOU_RS01380-MONOMER	USA300HOU_RS01380	6-phospho-beta-glucosidase	CCI-CYTOSOL-GP
USA300HOU_RS08580-MONOMER	USA300HOU_RS08580	uridine kinase	CCI-CYTOSOL-GP
USA300HOU_RS08270-MONOMER	USA300HOU_RS08270	rhomboid family intramembrane serine protease	CCI-PM-BAC-POS-GP
USA300HOU_RS04310-MONOMER	USA300HOU_RS04310	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06305-MONOMER	USA300HOU_RS06305	HslU--HslV peptidase proteolytic subunit	CCI-CYTOSOL-GP
USA300HOU_RS11740-MONOMER	USA300HOU_RS11740	multidrug resistance efflux pump SepA	CCI-PM-BAC-POS-GP
USA300HOU_RS02010-MONOMER	USA300HOU_RS02010	hypothetical protein	
USA300HOU_RS07465-MONOMER	USA300HOU_RS07465	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00795-MONOMER	USA300HOU_RS00795	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS09870-MONOMER	USA300HOU_RS09870	transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS10455-MONOMER	USA300HOU_RS10455	linear amide C-N hydrolase	
USA300HOU_RS03425-MONOMER	USA300HOU_RS03425	metal ABC transporter permease	CCI-PM-BAC-POS-GP
CPLX1OEB-20	USA300HOU_RS02415 // USA300HOU_RS02470	DNA polymerase III	
USA300HOU_RS04410-MONOMER	USA300HOU_RS04410	ABC transporter permease	CCI-PM-BAC-POS-GP
CPLX1OEB-9	USA300HOU_RS06040 // USA300HOU_RS06045	carbamoyl-phosphate synthase	
USA300HOU_RS01800-MONOMER	USA300HOU_RS01800	NAD(P)H-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS14555-MONOMER	USA300HOU_RS14555	polysaccharide deacetylase	CCI-PM-BAC-POS-GP
USA300HOU_RS11450-MONOMER	USA300HOU_RS11450	transcription termination factor Rho	CCI-CYTOSOL-GP
USA300HOU_RS11780-MONOMER	USA300HOU_RS11780	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS09190-MONOMER	USA300HOU_RS09190	iron-regulated surface determinant protein H	CCI-CW-BAC-POS-GP
USA300HOU_RS08515-MONOMER	USA300HOU_RS08515	YqeG family HAD IIIA-type phosphatase	CCI-PM-BAC-POS-GP
USA300HOU_RS08365-MONOMER	USA300HOU_RS08365	cytidine deaminase	CCI-CYTOSOL-GP
USA300HOU_RS09175-MONOMER	USA300HOU_RS09175	tyrosine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS09015-MONOMER	USA300HOU_RS09015	acetyl-CoA carboxylase carboxyl transferase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS12550-MONOMER	USA300HOU_RS12550	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12760-MONOMER	USA300HOU_RS12760	YdcF family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07200-MONOMER	USA300HOU_RS07200	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05690-MONOMER	USA300HOU_RS05690	phenylalanine--tRNA ligase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS06190-MONOMER	USA300HOU_RS06190	hypothetical protein	
USA300HOU_RS05800-MONOMER	USA300HOU_RS05800	fibrinogen-binding protein	
USA300HOU_RS06650-MONOMER	USA300HOU_RS06650	hypothetical protein	
USA300HOU_RS04210-MONOMER	USA300HOU_RS04210	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07190-MONOMER	USA300HOU_RS07190	MoxR family ATPase	CCI-CYTOSOL-GP
USA300HOU_RS04335-MONOMER	USA300HOU_RS04335	histidine phosphatase family protein	
USA300HOU_RS10780-MONOMER	USA300HOU_RS10780	ATPase	CCI-CYTOSOL-GP
USA300HOU_RS08840-MONOMER	USA300HOU_RS08840	uroporphyrinogen III methyltransferase	
USA300HOU_RS06400-MONOMER	USA300HOU_RS06400	ribosome-binding factor A	CCI-CYTOSOL-GP
USA300HOU_RS06915-MONOMER	USA300HOU_RS06915	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13590-MONOMER	USA300HOU_RS13590	GTP pyrophosphokinase	CCI-CYTOSOL-GP
USA300HOU_RS12030-MONOMER	USA300HOU_RS12030	energy-coupling factor transporter ATPase	CCI-PM-BAC-POS-GP
USA300HOU_RS03780-MONOMER	USA300HOU_RS03780	PTS fructose transporter subunit IIC	CCI-PM-BAC-POS-GP
USA300HOU_RS02970-MONOMER	USA300HOU_RS02970	GTP cyclohydrolase I FolE2	CCI-CYTOSOL-GP
USA300HOU_RS04445-MONOMER	USA300HOU_RS04445	XRE family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS13445-MONOMER	USA300HOU_RS13445	hypothetical protein	CCI-PM-BAC-POS-GP
CPLX1OEB-8	USA300HOU_RS06265 // USA300HOU_RS06270	succinyl-CoA ligase	
USA300HOU_RS12570-MONOMER	USA300HOU_RS12570	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS12270-MONOMER	USA300HOU_RS12270	hypothetical protein	
USA300HOU_RS01910-MONOMER	USA300HOU_RS01910	chromosome partitioning protein ParB	CCI-CYTOSOL-GP
USA300HOU_RS08930-MONOMER	USA300HOU_RS08930	helicase DnaB	CCI-CYTOSOL-GP
USA300HOU_RS08905-MONOMER	USA300HOU_RS08905	translation initiation factor IF-3	CCI-CYTOSOL-GP
USA300HOU_RS14860-MONOMER	USA300HOU_RS14860	ABC-F type ribosomal protection protein Msr(A)	CCI-CYTOSOL-GP
USA300HOU_RS09380-MONOMER	USA300HOU_RS09380	proline dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS06805-MONOMER	USA300HOU_RS06805	hypothetical protein	
USA300HOU_RS00315-MONOMER	USA300HOU_RS00315	Crp/Fnr family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS10370-MONOMER	USA300HOU_RS10370	saureusostatin A	
USA300HOU_RS03015-MONOMER	USA300HOU_RS03015	acetyl-CoA acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04490-MONOMER	USA300HOU_RS04490	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06895-MONOMER	USA300HOU_RS06895	DNA topoisomerase 4 subunit A	CCI-CYTOSOL-GP
USA300HOU_RS01260-MONOMER	USA300HOU_RS01260	nucleoside hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS11915-MONOMER	USA300HOU_RS11915	DUF3885 domain-containing protein	
USA300HOU_RS13355-MONOMER	USA300HOU_RS13355	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07320-MONOMER	USA300HOU_RS07320	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01440-MONOMER	USA300HOU_RS01440	linear amide C-N hydrolase	
USA300HOU_RS13225-MONOMER	USA300HOU_RS13225	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05020-MONOMER	USA300HOU_RS05020	alanine:cation symporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07280-MONOMER	USA300HOU_RS07280	peptide-methionine (S)-S-oxide reductase	
USA300HOU_RS06945-MONOMER	USA300HOU_RS06945	DNA repair protein MucB	CCI-CYTOSOL-GP
USA300HOU_RS04990-MONOMER	USA300HOU_RS04990	NAD(+) kinase	CCI-CYTOSOL-GP
USA300HOU_RS04950-MONOMER	USA300HOU_RS04950	adaptor protein MecA	CCI-CYTOSOL-GP
USA300HOU_RS06660-MONOMER	USA300HOU_RS06660	hypothetical protein	
USA300HOU_RS10305-MONOMER	USA300HOU_RS10305	diacylglycerol kinase	CCI-CYTOSOL-GP
USA300HOU_RS01535-MONOMER	USA300HOU_RS01535	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS15570-MONOMER	USA300HOU_RS15570	hypothetical protein	
USA300HOU_RS06835-MONOMER	USA300HOU_RS06835	hypothetical protein	
USA300HOU_RS04780-MONOMER	USA300HOU_RS04780	TVP38/TMEM64 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12710-MONOMER	USA300HOU_RS12710	alpha/beta hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS06715-MONOMER	USA300HOU_RS06715	sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS00740-MONOMER	USA300HOU_RS00740	phosphonate ABC transporter, permease protein PhnE	CCI-PM-BAC-POS-GP
USA300HOU_RS00115-MONOMER	USA300HOU_RS00115	hypothetical protein	
USA300HOU_RS07590-MONOMER	USA300HOU_RS07590	elastin-binding protein EbpS	CCI-PM-BAC-POS-GP
USA300HOU_RS08380-MONOMER	USA300HOU_RS08380	PhoH family protein	CCI-CYTOSOL-GP
USA300HOU_RS01845-MONOMER	USA300HOU_RS01845	DUF1398 domain-containing protein	
USA300HOU_RS02515-MONOMER	USA300HOU_RS02515	ribonuclease M5	CCI-CYTOSOL-GP
USA300HOU_RS00055-MONOMER	USA300HOU_RS00055	AzlD domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12405-MONOMER	USA300HOU_RS12405	urease accessory protein UreG	CCI-CYTOSOL-GP
USA300HOU_RS11215-MONOMER	USA300HOU_RS11215	potassium-transporting ATPase A chain	CCI-PM-BAC-POS-GP
USA300HOU_RS06115-MONOMER	USA300HOU_RS06115	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	CCI-CYTOSOL-GP
USA300HOU_RS12880-MONOMER	USA300HOU_RS12880	AraC family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS14085-MONOMER	USA300HOU_RS14085	3-methyl-2-oxobutanoate hydroxymethyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS07595-MONOMER	USA300HOU_RS07595	ATP-dependent DNA helicase RecQ	CCI-CYTOSOL-GP
USA300HOU_RS04820-MONOMER	USA300HOU_RS04820	Cof-type HAD-IIB family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS02745-MONOMER	USA300HOU_RS02745	transcriptional regulator CtsR	CCI-CYTOSOL-GP
USA300HOU_RS02825-MONOMER	USA300HOU_RS02825	50S ribosomal protein L11	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS00655-MONOMER	USA300HOU_RS00655	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05420-MONOMER	USA300HOU_RS05420	TrkA family potassium uptake protein	CCI-CYTOSOL-GP
USA300HOU_RS13045-MONOMER	USA300HOU_RS13045	amino acid ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS01170-MONOMER	USA300HOU_RS01170	hypothetical protein	
USA300HOU_RS10895-MONOMER	USA300HOU_RS10895	TrkH family potassium uptake protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05475-MONOMER	USA300HOU_RS05475	hypothetical protein	
USA300HOU_RS00615-MONOMER	USA300HOU_RS00615	IucA/IucC family siderophore biosynthesis protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02920-MONOMER	USA300HOU_RS02920	deoxynucleoside kinase	CCI-CYTOSOL-GP
USA300HOU_RS12565-MONOMER	USA300HOU_RS12565	bile acid:sodium symporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14680-MONOMER	USA300HOU_RS14680	cold-shock protein	CCI-CYTOSOL-GP
USA300HOU_RS14130-MONOMER	USA300HOU_RS14130	malate:quinone oxidoreductase	CCI-CW-BAC-POS-GP
USA300HOU_RS00610-MONOMER	USA300HOU_RS00610	2,3-diaminopropionate biosynthesis protein SbnB	CCI-CYTOSOL-GP
USA300HOU_RS12900-MONOMER	USA300HOU_RS12900	DUF3139 domain-containing protein	
USA300HOU_RS00025-MONOMER	USA300HOU_RS00025	DNA gyrase subunit B	CCI-CYTOSOL-GP
USA300HOU_RS08390-MONOMER	USA300HOU_RS08390	UPF0365 family protein	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
USA300HOU_RS09090-MONOMER	USA300HOU_RS09090	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05920-MONOMER	USA300HOU_RS05920	division/cell wall cluster transcriptional repressor MraZ	CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP
USA300HOU_RS10420-MONOMER	USA300HOU_RS10420	cysteine hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS09845-MONOMER	USA300HOU_RS09845	DNA double-strand break repair Rad50 ATPase	CCI-CYTOSOL-GP
USA300HOU_RS14900-MONOMER	USA300HOU_RS14900	hypothetical protein	
USA300HOU_RS11810-MONOMER	USA300HOU_RS11810	IucA/IucC family siderophore biosynthesis protein	CCI-CYTOSOL-GP
USA300HOU_RS08060-MONOMER	USA300HOU_RS08060	LacI family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS09880-MONOMER	USA300HOU_RS09880	sensor histidine kinase	CCI-PM-BAC-POS-GP
USA300HOU_RS05700-MONOMER	USA300HOU_RS05700	ribonuclease HIII	
USA300HOU_RS11855-MONOMER	USA300HOU_RS11855	NADP-dependent oxidoreductase	CCI-CYTOSOL-GP
CPLX1OEB-27	USA300HOU_RS13040 // USA300HOU_RS13045 // USA300HOU_RS13050	predicted ABC transporter of an amino acid	
USA300HOU_RS07925-MONOMER	USA300HOU_RS07925	XRE family transcriptional regulator	
USA300HOU_RS13110-MONOMER	USA300HOU_RS13110	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06410-MONOMER	USA300HOU_RS06410	riboflavin biosynthesis protein RibF	CCI-CYTOSOL-GP
USA300HOU_RS01015-MONOMER	USA300HOU_RS01015	permease	CCI-PM-BAC-POS-GP
USA300HOU_RS09300-MONOMER	USA300HOU_RS09300	dipeptidase PepV	CCI-CYTOSOL-GP
USA300HOU_RS14885-MONOMER	USA300HOU_RS14885	DUF536 domain-containing protein	
USA300HOU_RS13495-MONOMER	USA300HOU_RS13495	(deoxy)nucleoside triphosphate pyrophosphohydrolase	
USA300HOU_RS08150-MONOMER	USA300HOU_RS08150	Asp23/Gls24 family envelope stress response protein	
USA300HOU_RS06940-MONOMER	USA300HOU_RS06940	tautomerase	CCI-CYTOSOL-GP
USA300HOU_RS00035-MONOMER	USA300HOU_RS00035	NAD(P)H-hydrate dehydratase	
USA300HOU_RS05045-MONOMER	USA300HOU_RS05045	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase	CCI-CYTOSOL-GP
USA300HOU_RS12050-MONOMER	USA300HOU_RS12050	30S ribosomal protein S11	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS08160-MONOMER	USA300HOU_RS08160	acetyl-CoA carboxylase biotin carboxyl carrier protein	CCI-CYTOSOL-GP
USA300HOU_RS08410-MONOMER	USA300HOU_RS08410	16S rRNA (uracil(1498)-N(3))-methyltransferase	
USA300HOU_RS11260-MONOMER	USA300HOU_RS11260	hypothetical protein	
USA300HOU_RS08125-MONOMER	USA300HOU_RS08125	arginine repressor	CCI-CYTOSOL-GP
USA300HOU_RS02615-MONOMER	USA300HOU_RS02615	hypoxanthine-guanine phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS04630-MONOMER	USA300HOU_RS04630	D-alanine--poly(phosphoribitol) ligase subunit 2	CCI-CYTOSOL-GP
USA300HOU_RS11540-MONOMER	USA300HOU_RS11540	2-deoxyribose-5-phosphate aldolase	CCI-CYTOSOL-GP
USA300HOU_RS15565-MONOMER	USA300HOU_RS15565	short-chain dehydrogenase	
USA300HOU_RS01390-MONOMER	USA300HOU_RS01390	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS13745-MONOMER	USA300HOU_RS13745	EamA family transporter	
USA300HOU_RS04695-MONOMER	USA300HOU_RS04695	Na+/H+ antiporter subunit F	CCI-PM-BAC-POS-GP
USA300HOU_RS00205-MONOMER	USA300HOU_RS00205	DUF927 domain-containing protein	
USA300HOU_RS06360-MONOMER	USA300HOU_RS06360	RIP metalloprotease RseP	CCI-PM-BAC-POS-GP
USA300HOU_RS02480-MONOMER	USA300HOU_RS02480	DNA replication initiation control protein YabA	CCI-CYTOSOL-GP
USA300HOU_RS06380-MONOMER	USA300HOU_RS06380	transcription termination/antitermination protein NusA	CCI-CYTOSOL-GP
USA300HOU_RS09900-MONOMER	USA300HOU_RS09900	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07630-MONOMER	USA300HOU_RS07630	DUF1672 domain-containing protein	
USA300HOU_RS08810-MONOMER	USA300HOU_RS08810	valine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS11795-MONOMER	USA300HOU_RS11795	alanine racemase	CCI-CYTOSOL-GP
USA300HOU_RS04720-MONOMER	USA300HOU_RS04720	Na+/H+ antiporter subunit A	CCI-PM-BAC-POS-GP
USA300HOU_RS02265-MONOMER	USA300HOU_RS02265	GTP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS10150-MONOMER	USA300HOU_RS10150	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS13685-MONOMER	USA300HOU_RS13685	lactate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS07575-MONOMER	USA300HOU_RS07575	asparaginase	CCI-CYTOSOL-GP
USA300HOU_RS09285-MONOMER	USA300HOU_RS09285	tRNA (guanosine(46)-N7)-methyltransferase TrmB	CCI-CYTOSOL-GP
USA300HOU_RS07800-MONOMER	USA300HOU_RS07800	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS10645-MONOMER	USA300HOU_RS10645	phage head-tail adapter protein	
USA300HOU_RS08780-MONOMER	USA300HOU_RS08780	DUF4930 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05870-MONOMER	USA300HOU_RS05870	YfcC family protein	
USA300HOU_RS06595-MONOMER	USA300HOU_RS06595	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14535-MONOMER	USA300HOU_RS14535	histidinol-phosphate aminotransferase family protein	CCI-CYTOSOL-GP
USA300HOU_RS06435-MONOMER	USA300HOU_RS06435	GntR family transcriptional regulator	
USA300HOU_RS08585-MONOMER	USA300HOU_RS08585	collagenase-like protease	CCI-CYTOSOL-GP
USA300HOU_RS03985-MONOMER	USA300HOU_RS03985	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03050-MONOMER	USA300HOU_RS03050	DUF423 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05210-MONOMER	USA300HOU_RS05210	saureusopain B	CCI-EXTRACELLULAR-GP
USA300HOU_RS11645-MONOMER	USA300HOU_RS11645	mannitol-1-phosphate 5-dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS11345-MONOMER	USA300HOU_RS11345	DUF1146 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11090-MONOMER	USA300HOU_RS11090	3-isopropylmalate dehydratase large subunit	CCI-CYTOSOL-GP
USA300HOU_RS04500-MONOMER	USA300HOU_RS04500	hypothetical protein	
USA300HOU_RS00180-MONOMER	USA300HOU_RS00180	DUF1643 domain-containing protein	
USA300HOU_RS06560-MONOMER	USA300HOU_RS06560	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	
