Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS13300-MONOMER	hypothetical protein	ABAYE_RS13300	
ABAYE_RS02455-MONOMER	toluene tolerance protein	ABAYE_RS02455	
ABAYE_RS15205-MONOMER	NADH-quinone oxidoreductase subunit L	ABAYE_RS15205	CCI-PM-BAC-NEG-GN
ABAYE_RS02340-MONOMER	hypothetical protein	ABAYE_RS02340	
ABAYE_RS07770-MONOMER	chorismate mutase	ABAYE_RS07770	CCI-PERI-BAC-GN
ABAYE_RS05440-MONOMER	MFS transporter	ABAYE_RS05440	CCI-PM-BAC-NEG-GN
ABAYE_RS05350-MONOMER	VIT family protein	ABAYE_RS05350	CCI-PM-BAC-NEG-GN
ABAYE_RS15990-MONOMER	copper resistance protein CopD	ABAYE_RS15990	CCI-PM-BAC-NEG-GN
ABAYE_RS08255-MONOMER	outer membrane protein assembly factor BamA	ABAYE_RS08255	CCI-OUTER-MEM-GN
ABAYE_RS14280-MONOMER	high-affinity choline transporter BetT	ABAYE_RS14280	CCI-PM-BAC-NEG-GN
ABAYE_RS00170-MONOMER	NADP-dependent oxidoreductase	ABAYE_RS00170	CCI-CYTOSOL-GN
ABAYE_RS12130-MONOMER	OmpA family protein	ABAYE_RS12130	CCI-PERI-BAC-GN // CCI-OUTER-MEM-GN
ABAYE_RS11930-MONOMER	phenylacetate--CoA ligase	ABAYE_RS11930	CCI-CYTOSOL-GN
ABAYE_RS02345-MONOMER	DUF262 domain-containing protein	ABAYE_RS02345	CCI-CYTOSOL-GN
ABAYE_RS15365-MONOMER	fatty acid desaturase	ABAYE_RS15365	CCI-PM-BAC-NEG-GN
ABAYE_RS14180-MONOMER	ferredoxin reductase	ABAYE_RS14180	CCI-CYTOSOL-GN
ABAYE_RS00035-MONOMER	hypothetical protein	ABAYE_RS00035	
ABAYE_RS06795-MONOMER	hypothetical protein	ABAYE_RS06795	
ABAYE_RS04350-MONOMER	transcriptional regulator	ABAYE_RS04350	
ABAYE_RS05425-MONOMER	NADP-dependent isocitrate dehydrogenase	ABAYE_RS05425	CCI-CYTOSOL-GN
ABAYE_RS07250-MONOMER	phosphoribosylamine--glycine ligase	ABAYE_RS07250	CCI-CYTOSOL-GN
ABAYE_RS02880-MONOMER	CDP-diacylglycerol--serine O-phosphatidyltransferase	ABAYE_RS02880	CCI-PM-BAC-NEG-GN
ABAYE_RS06770-MONOMER	hypothetical protein	ABAYE_RS06770	
ABAYE_RS18800-MONOMER	hypothetical protein	ABAYE_RS18800	CCI-CYTOSOL-GN
ABAYE_RS07630-MONOMER	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	ABAYE_RS07630	CCI-CYTOSOL-GN
ABAYE_RS00660-MONOMER	sodium-dependent transporter	ABAYE_RS00660	CCI-PM-BAC-NEG-GN
ABAYE_RS00425-MONOMER	hypothetical protein	ABAYE_RS00425	
ABAYE_RS00760-MONOMER	LysR family transcriptional regulator	ABAYE_RS00760	CCI-CYTOSOL-GN
ABAYE_RS14360-MONOMER	hypothetical protein	ABAYE_RS14360	
ABAYE_RS10015-MONOMER	50S ribosomal protein L3 N(5)-glutamine methyltransferase	ABAYE_RS10015	CCI-CYTOSOL-GN
ABAYE_RS00910-MONOMER	GTP-binding protein	ABAYE_RS00910	CCI-CYTOSOL-GN
ABAYE_RS16880-MONOMER	DUF4062 domain-containing protein	ABAYE_RS16880	
ABAYE_RS18595-MONOMER	hypothetical protein	ABAYE_RS18595	
ABAYE_RS09435-MONOMER	transporter	ABAYE_RS09435	
ABAYE_RS09075-MONOMER	hypothetical protein	ABAYE_RS09075	
ABAYE_RS11520-MONOMER	hypothetical protein	ABAYE_RS11520	
ABAYE_RS09325-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS09325	CCI-CYTOSOL-GN
ABAYE_RS00490-MONOMER	hypothetical protein	ABAYE_RS00490	
ABAYE_RS14875-MONOMER	aspartate 1-decarboxylase	ABAYE_RS14875	CCI-CYTOSOL-GN
ABAYE_RS15330-MONOMER	hypothetical protein	ABAYE_RS15330	CCI-CYTOSOL-GN
ABAYE_RS07000-MONOMER	SRPBCC family protein	ABAYE_RS07000	
ABAYE_RS10450-MONOMER	heme-binding protein	ABAYE_RS10450	CCI-PERI-BAC-GN // CCO-MEMBRANE
ABAYE_RS04690-MONOMER	transglycosylase	ABAYE_RS04690	
ABAYE_RS03255-MONOMER	hypothetical protein	ABAYE_RS03255	CCI-CYTOSOL-GN
ABAYE_RS19315-MONOMER	metal/formaldehyde-sensitive transcriptional repressor	ABAYE_RS19315	CCI-CYTOSOL-GN
ABAYE_RS11655-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS11655	CCI-CYTOSOL-GN
ABAYE_RS00595-MONOMER	hypothetical protein	ABAYE_RS00595	
ABAYE_RS03295-MONOMER	hypothetical protein	ABAYE_RS03295	CCI-PM-BAC-NEG-GN
ABAYE_RS01325-MONOMER	dihydrolipoamide acetyltransferase	ABAYE_RS01325	CCI-CYTOSOL-GN
ABAYE_RS16255-MONOMER	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	ABAYE_RS16255	CCI-CYTOSOL-GN
ABAYE_RS12490-MONOMER	type I secretion system permease/ATPase	ABAYE_RS12490	CCI-PM-BAC-NEG-GN
ABAYE_RS11425-MONOMER	amino acid ABC transporter ATP-binding protein	ABAYE_RS11425	CCI-PM-BAC-NEG-GN
ABAYE_RS09165-MONOMER	GntR family transcriptional regulator	ABAYE_RS09165	CCI-CYTOSOL-GN
ABAYE_RS06245-MONOMER	septal ring lytic transglycosylase RlpA family protein	ABAYE_RS06245	
ABAYE_RS18725-MONOMER	amino acid permease	ABAYE_RS18725	CCI-PM-BAC-NEG-GN
ABAYE_RS04130-MONOMER	undecaprenyl-diphosphatase	ABAYE_RS04130	CCI-PM-BAC-NEG-GN
ABAYE_RS14960-MONOMER	ATP-dependent dethiobiotin synthetase BioD	ABAYE_RS14960	CCI-CYTOSOL-GN
ABAYE_RS01560-MONOMER	PLP-dependent aminotransferase family protein	ABAYE_RS01560	CCI-CYTOSOL-GN
ABAYE_RS01375-MONOMER	putative porin	ABAYE_RS01375	CCI-OUTER-MEM-GN
ABAYE_RS14790-MONOMER	SsrA-binding protein	ABAYE_RS14790	CCI-CYTOSOL-GN
ABAYE_RS08275-MONOMER	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	ABAYE_RS08275	CCI-CYTOSOL-GN
ABAYE_RS05715-MONOMER	lactoylglutathione lyase	ABAYE_RS05715	CCI-CYTOSOL-GN
ABAYE_RS01670-MONOMER	transcriptional regulator	ABAYE_RS01670	
ABAYE_RS17015-MONOMER	hypothetical protein	ABAYE_RS17015	CCI-CYTOSOL-GN
ABAYE_RS00265-MONOMER	antibiotic biosynthesis monooxygenase	ABAYE_RS00265	
ABAYE_RS12920-MONOMER	aspartate carbamoyltransferase	ABAYE_RS12920	CCI-CYTOSOL-GN
ABAYE_RS14070-MONOMER	inorganic phosphate transporter	ABAYE_RS14070	CCI-PM-BAC-NEG-GN
ABAYE_RS19210-MONOMER	5-(carboxyamino)imidazole ribonucleotide mutase	ABAYE_RS19210	
ABAYE_RS00205-MONOMER	S-formylglutathione hydrolase	ABAYE_RS00205	CCI-CYTOSOL-GN
ABAYE_RS10395-MONOMER	ribonuclease E inhibitor RraA	ABAYE_RS10395	CCI-CYTOSOL-GN
ABAYE_RS08350-MONOMER	SulP family inorganic anion transporter	ABAYE_RS08350	CCI-PM-BAC-NEG-GN
ABAYE_RS11180-MONOMER	DUF1427 domain-containing protein	ABAYE_RS11180	CCI-PM-BAC-NEG-GN
ABAYE_RS11220-MONOMER	taurine ABC transporter permease	ABAYE_RS11220	CCI-PM-BAC-NEG-GN
ABAYE_RS12935-MONOMER	ribosomal RNA large subunit methyltransferase K/L	ABAYE_RS12935	CCI-CYTOSOL-GN
ABAYE_RS19010-MONOMER	bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase	ABAYE_RS19010	CCI-CYTOSOL-GN
ABAYE_RS00460-MONOMER	Terminase-like domain protein	ABAYE_RS00460	
ABAYE_RS12085-MONOMER	ankyrin repeat domain-containing protein	ABAYE_RS12085	
ABAYE_RS04565-MONOMER	dihydropteroate synthase	ABAYE_RS04565	CCI-CYTOSOL-GN
ABAYE_RS13430-MONOMER	DUF4102 domain-containing protein	ABAYE_RS13430	
ABAYE_RS02205-MONOMER	antibiotic biosynthesis monooxygenase	ABAYE_RS02205	
ABAYE_RS05600-MONOMER	Lrp/AsnC family transcriptional regulator	ABAYE_RS05600	CCI-CYTOSOL-GN
ABAYE_RS01390-MONOMER	alkene reductase	ABAYE_RS01390	CCI-CYTOSOL-GN
ABAYE_RS10165-MONOMER	hypothetical protein	ABAYE_RS10165	CCI-PM-BAC-NEG-GN
ABAYE_RS12460-MONOMER	hypothetical protein	ABAYE_RS12460	
ABAYE_RS14435-MONOMER	hypothetical protein	ABAYE_RS14435	
ABAYE_RS11405-MONOMER	LysE family translocator	ABAYE_RS11405	CCI-PM-BAC-NEG-GN
ABAYE_RS11285-MONOMER	malonate transporter subunit MadM	ABAYE_RS11285	CCI-PM-BAC-NEG-GN
ABAYE_RS16040-MONOMER	hypothetical protein	ABAYE_RS16040	CCI-CYTOSOL-GN
ABAYE_RS10375-MONOMER	transcription-repair coupling factor	ABAYE_RS10375	CCI-CYTOSOL-GN
ABAYE_RS03765-MONOMER	ribosomal RNA small subunit methyltransferase C	ABAYE_RS03765	CCI-CYTOSOL-GN
ABAYE_RS14370-MONOMER	TatD family deoxyribonuclease	ABAYE_RS14370	CCI-CYTOSOL-GN
ABAYE_RS12260-MONOMER	hypothetical protein	ABAYE_RS12260	
ABAYE_RS17750-MONOMER	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	ABAYE_RS17750	CCI-CYTOSOL-GN
ABAYE_RS13610-MONOMER	head morphogenesis protein	ABAYE_RS13610	
ABAYE_RS13290-MONOMER	hypothetical protein	ABAYE_RS13290	CCI-PM-BAC-NEG-GN
ABAYE_RS01950-MONOMER	penicillin-binding protein 2	ABAYE_RS01950	CCI-PM-BAC-NEG-GN
ABAYE_RS04320-MONOMER	50S ribosomal protein L27	ABAYE_RS04320	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS12370-MONOMER	serine hydrolase	ABAYE_RS12370	
ABAYE_RS11305-MONOMER	biotin-independent malonate decarboxylase subunit gamma	ABAYE_RS11305	CCI-CYTOSOL-GN
ABAYE_RS04425-MONOMER	succinate dehydrogenase flavoprotein subunit	ABAYE_RS04425	CCI-PM-BAC-NEG-GN
ABAYE_RS15590-MONOMER	histidinol-phosphate aminotransferase	ABAYE_RS15590	CCI-CYTOSOL-GN
ABAYE_RS16680-MONOMER	hypothetical protein	ABAYE_RS16680	
ABAYE_RS01930-MONOMER	hypothetical protein	ABAYE_RS01930	
ABAYE_RS11935-MONOMER	3-oxoadipyl-CoA thiolase	ABAYE_RS11935	CCI-CYTOSOL-GN
ABAYE_RS11680-MONOMER	nitronate monooxygenase	ABAYE_RS11680	CCI-CYTOSOL-GN
ABAYE_RS05925-MONOMER	isochorismatase	ABAYE_RS05925	CCI-CYTOSOL-GN
ABAYE_RS13050-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS13050	
ABAYE_RS10310-MONOMER	peptidylprolyl isomerase	ABAYE_RS10310	CCI-PM-BAC-NEG-GN
ABAYE_RS10825-MONOMER	N-acetyltransferase	ABAYE_RS10825	
ABAYE_RS06455-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS06455	CCI-CYTOSOL-GN
ABAYE_RS08670-MONOMER	enolase	ABAYE_RS08670	CCI-CYTOSOL-GN
ABAYE_RS07975-MONOMER	alcohol dehydrogenase	ABAYE_RS07975	CCI-CYTOSOL-GN
CPLX1SOZ-42	predicted ABC transporter of an amino acid	ABAYE_RS11415 // ABAYE_RS11425 // ABAYE_RS11430 // ABAYE_RS11435	
ABAYE_RS08150-MONOMER	sulfurtransferase TusD	ABAYE_RS08150	CCI-CYTOSOL-GN
ABAYE_RS11090-MONOMER	AraC family transcriptional regulator	ABAYE_RS11090	CCI-CYTOSOL-GN
ABAYE_RS13875-MONOMER	urease subunit beta	ABAYE_RS13875	CCI-CYTOSOL-GN
ABAYE_RS15215-MONOMER	NADH-quinone oxidoreductase subunit J	ABAYE_RS15215	CCI-PM-BAC-NEG-GN
ABAYE_RS04635-MONOMER	diacylglycerol kinase	ABAYE_RS04635	CCI-CYTOSOL-GN
ABAYE_RS06335-MONOMER	histidine ABC transporter permease HisM	ABAYE_RS06335	CCI-PM-BAC-NEG-GN
ABAYE_RS10720-MONOMER	ABC transporter ATP-binding protein	ABAYE_RS10720	CCI-PM-BAC-NEG-GN
ABAYE_RS08635-MONOMER	nuclear transport factor 2 family protein	ABAYE_RS08635	CCI-CYTOSOL-GN
ABAYE_RS00740-MONOMER	4-hydroxy-tetrahydrodipicolinate reductase	ABAYE_RS00740	CCI-CYTOSOL-GN
ABAYE_RS03085-MONOMER	hypothetical protein	ABAYE_RS03085	CCI-OUTER-MEM-GN
ABAYE_RS05655-MONOMER	lysogenization protein HflD	ABAYE_RS05655	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
ABAYE_RS19845-MONOMER	outer membrane porin, OprD family	ABAYE_RS19845	
ABAYE_RS07285-MONOMER	WYL domain-containing protein	ABAYE_RS07285	CCI-CYTOSOL-GN
ABAYE_RS13845-MONOMER	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	ABAYE_RS13845	CCI-CYTOSOL-GN
ABAYE_RS17180-MONOMER	Holliday junction resolvase RuvX	ABAYE_RS17180	CCI-CYTOSOL-GN
ABAYE_RS17000-MONOMER	exonuclease V subunit gamma	ABAYE_RS17000	
ABAYE_RS17585-MONOMER	histidine kinase	ABAYE_RS17585	CCI-PM-BAC-NEG-GN
ABAYE_RS04010-MONOMER	alpha/beta hydrolase	ABAYE_RS04010	
ABAYE_RS08050-MONOMER	DUF4113 domain-containing protein	ABAYE_RS08050	CCI-CYTOSOL-GN
ABAYE_RS17535-MONOMER	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	ABAYE_RS17535	CCI-CYTOSOL-GN
ABAYE_RS10155-MONOMER	hypothetical protein	ABAYE_RS10155	CCI-PM-BAC-NEG-GN
ABAYE_RS10190-MONOMER	histidine phosphatase family protein	ABAYE_RS10190	CCI-CYTOSOL-GN
ABAYE_RS16225-MONOMER	outer membrane protein assembly factor BamB	ABAYE_RS16225	CCI-OUTER-MEM-GN
ABAYE_RS12225-MONOMER	flavodoxin	ABAYE_RS12225	CCI-CYTOSOL-GN
ABAYE_RS14980-MONOMER	hydrolase	ABAYE_RS14980	CCI-CYTOSOL-GN
ABAYE_RS01305-MONOMER	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	ABAYE_RS01305	CCI-CYTOSOL-GN
ABAYE_RS15075-MONOMER	hypothetical protein	ABAYE_RS15075	
ABAYE_RS06900-MONOMER	LysR family transcriptional regulator	ABAYE_RS06900	CCI-CYTOSOL-GN
ABAYE_RS01490-MONOMER	GGDEF domain-containing protein	ABAYE_RS01490	
ABAYE_RS01855-MONOMER	hypothetical protein	ABAYE_RS01855	
ABAYE_RS09245-MONOMER	ribose-phosphate pyrophosphokinase	ABAYE_RS09245	CCI-CYTOSOL-GN
ABAYE_RS03870-MONOMER	hypothetical protein	ABAYE_RS03870	
ABAYE_RS11390-MONOMER	serine acetyltransferase	ABAYE_RS11390	CCI-CYTOSOL-GN
ABAYE_RS04390-MONOMER	hypothetical protein	ABAYE_RS04390	
ABAYE_RS01755-MONOMER	EamA/RhaT family transporter	ABAYE_RS01755	CCI-PM-BAC-NEG-GN
ABAYE_RS00860-MONOMER	bile acid:sodium symporter family protein	ABAYE_RS00860	CCI-PM-BAC-NEG-GN
ABAYE_RS13640-MONOMER	hypothetical protein	ABAYE_RS13640	
ABAYE_RS19990-MONOMER	hypothetical protein	ABAYE_RS19990	
ABAYE_RS01075-MONOMER	phosphate regulon transcriptional regulatory protein PhoB	ABAYE_RS01075	CCI-CYTOSOL-GN
ABAYE_RS11135-MONOMER	hypothetical protein	ABAYE_RS11135	
ABAYE_RS18390-MONOMER	TonB-dependent copper receptor	ABAYE_RS18390	CCI-OUTER-MEM-GN
ABAYE_RS08710-MONOMER	3-oxoadipate enol-lactonase	ABAYE_RS08710	CCI-CYTOSOL-GN
ABAYE_RS07940-MONOMER	hypothetical protein	ABAYE_RS07940	CCI-CYTOSOL-GN
ABAYE_RS04055-MONOMER	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	ABAYE_RS04055	CCI-CYTOSOL-GN
ABAYE_RS11350-MONOMER	LrgB family protein	ABAYE_RS11350	CCI-PM-BAC-NEG-GN
ABAYE_RS01255-MONOMER	orotate phosphoribosyltransferase	ABAYE_RS01255	CCI-CYTOSOL-GN
ABAYE_RS09495-MONOMER	hypothetical protein	ABAYE_RS09495	
ABAYE_RS10615-MONOMER	lipid A export permease/ATP-binding protein MsbA	ABAYE_RS10615	CCI-PM-BAC-NEG-GN
ABAYE_RS04780-MONOMER	hypothetical protein	ABAYE_RS04780	CCI-CYTOSOL-GN
ABAYE_RS08785-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS08785	CCI-CYTOSOL-GN
ABAYE_RS16650-MONOMER	hypothetical protein	ABAYE_RS16650	
ABAYE_RS14530-MONOMER	twitching motility protein PilT	ABAYE_RS14530	CCI-CYTOSOL-GN
ABAYE_RS09940-MONOMER	TIGR01244 family phosphatase	ABAYE_RS09940	CCI-PERI-BAC-GN
ABAYE_RS04920-MONOMER	EamA family transporter	ABAYE_RS04920	CCI-PM-BAC-NEG-GN
ABAYE_RS10215-MONOMER	N-acetyltransferase	ABAYE_RS10215	CCI-CYTOSOL-GN
ABAYE_RS05090-MONOMER	nicotinamide-nucleotide adenylyltransferase	ABAYE_RS05090	
ABAYE_RS14800-MONOMER	peptidoglycan editing factor PgeF	ABAYE_RS14800	
ABAYE_RS07365-MONOMER	phosphoenolpyruvate synthase	ABAYE_RS07365	CCI-CYTOSOL-GN
ABAYE_RS07675-MONOMER	ethanolamine ammonia-lyase subunit EutB	ABAYE_RS07675	CCI-CYTOSOL-GN
ABAYE_RS09110-MONOMER	DUF2247 domain-containing protein	ABAYE_RS09110	
ABAYE_RS12480-MONOMER	DUF1949 domain-containing protein	ABAYE_RS12480	CCI-CYTOSOL-GN
ABAYE_RS15960-MONOMER	copper resistance system multicopper oxidase	ABAYE_RS15960	CCI-PERI-BAC-GN
ABAYE_RS02245-MONOMER	endonuclease	ABAYE_RS02245	CCI-CYTOSOL-GN
ABAYE_RS00235-MONOMER	drug/metabolite DMT transporter permease	ABAYE_RS00235	CCI-PM-BAC-NEG-GN
ABAYE_RS11175-MONOMER	arsenate reductase (glutaredoxin)	ABAYE_RS11175	CCI-CYTOSOL-GN
ABAYE_RS01660-MONOMER	hypothetical protein	ABAYE_RS01660	
ABAYE_RS03570-MONOMER	ATP:cob(I)alamin adenosyltransferase	ABAYE_RS03570	CCI-CYTOSOL-GN
ABAYE_RS09230-MONOMER	KR domain-containing protein	ABAYE_RS09230	
ABAYE_RS16280-MONOMER	tail-specific protease	ABAYE_RS16280	CCI-PM-BAC-NEG-GN
ABAYE_RS07625-MONOMER	DNA mismatch repair endonuclease MutL	ABAYE_RS07625	CCI-CYTOSOL-GN
ABAYE_RS01700-MONOMER	hypothetical protein	ABAYE_RS01700	
ABAYE_RS07325-MONOMER	30S ribosomal protein S18	ABAYE_RS07325	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS10900-MONOMER	LysR family transcriptional regulator	ABAYE_RS10900	CCI-CYTOSOL-GN
ABAYE_RS07125-MONOMER	two-component sensor histidine kinase	ABAYE_RS07125	CCI-PM-BAC-NEG-GN
ABAYE_RS09960-MONOMER	2,3-butanediol dehydrogenase	ABAYE_RS09960	CCI-CYTOSOL-GN
ABAYE_RS11250-MONOMER	monooxygenase	ABAYE_RS11250	CCI-CYTOSOL-GN
ABAYE_RS03410-MONOMER	phage capsid protein	ABAYE_RS03410	
ABAYE_RS12185-MONOMER	hypothetical protein	ABAYE_RS12185	
ABAYE_RS14655-MONOMER	metal-dependent hydrolase	ABAYE_RS14655	CCI-CYTOSOL-GN
ABAYE_RS03450-MONOMER	polysaccharide deacetylase family protein	ABAYE_RS03450	
ABAYE_RS08130-MONOMER	EamA/RhaT family transporter	ABAYE_RS08130	CCI-PM-BAC-NEG-GN
ABAYE_RS08800-MONOMER	short chain dehydrogenase	ABAYE_RS08800	CCI-CYTOSOL-GN
ABAYE_RS13780-MONOMER	hypothetical protein	ABAYE_RS13780	
ABAYE_RS19255-MONOMER	guanine deaminase	ABAYE_RS19255	CCI-CYTOSOL-GN
ABAYE_RS12385-MONOMER	3-hydroxyacyl-CoA dehydrogenase	ABAYE_RS12385	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS09350-MONOMER	alpha/beta hydrolase	ABAYE_RS09350	CCI-CYTOSOL-GN
ABAYE_RS14820-MONOMER	glutamyl-tRNA reductase	ABAYE_RS14820	CCI-CYTOSOL-GN
ABAYE_RS06115-MONOMER	superoxide dismutase	ABAYE_RS06115	CCI-PERI-BAC-GN
ABAYE_RS04255-MONOMER	hypothetical protein	ABAYE_RS04255	
ABAYE_RS15140-MONOMER	1-aminocyclopropane-1-carboxylate deaminase	ABAYE_RS15140	CCI-CYTOSOL-GN
ABAYE_RS02175-MONOMER	hemerythrin	ABAYE_RS02175	CCI-CYTOSOL-GN
ABAYE_RS17990-MONOMER	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	ABAYE_RS17990	CCI-CYTOSOL-GN
ABAYE_RS02790-MONOMER	AraC family transcriptional regulator	ABAYE_RS02790	CCI-CYTOSOL-GN
ABAYE_RS06585-MONOMER	hypothetical protein	ABAYE_RS06585	
ABAYE_RS07450-MONOMER	AraC family transcriptional regulator	ABAYE_RS07450	CCI-CYTOSOL-GN
ABAYE_RS10940-MONOMER	hypothetical protein	ABAYE_RS10940	CCI-CYTOSOL-GN
ABAYE_RS14640-MONOMER	leucyl/phenylalanyl-tRNA--protein transferase	ABAYE_RS14640	CCI-CYTOSOL-GN
ABAYE_RS02065-MONOMER	bacterioferritin	ABAYE_RS02065	CCI-CYTOSOL-GN
ABAYE_RS10665-MONOMER	fructose-bisphosphate aldolase class II	ABAYE_RS10665	CCI-CYTOSOL-GN
ABAYE_RS10380-MONOMER	hypothetical protein	ABAYE_RS10380	CCI-CYTOSOL-GN
ABAYE_RS06610-MONOMER	hypothetical protein	ABAYE_RS06610	
ABAYE_RS09745-MONOMER	anthranilate dioxygenase reductase	ABAYE_RS09745	CCI-CYTOSOL-GN
ABAYE_RS08190-MONOMER	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ABAYE_RS08190	CCI-CYTOSOL-GN
ABAYE_RS12950-MONOMER	ATP-dependent chaperone ClpB	ABAYE_RS12950	CCI-CYTOSOL-GN
ABAYE_RS10610-MONOMER	tetraacyldisaccharide 4'-kinase	ABAYE_RS10610	
ABAYE_RS12620-MONOMER	helicase	ABAYE_RS12620	CCI-CYTOSOL-GN
ABAYE_RS17125-MONOMER	triose-phosphate isomerase	ABAYE_RS17125	CCI-CYTOSOL-GN
ABAYE_RS10920-MONOMER	membrane protein	ABAYE_RS10920	CCI-PM-BAC-NEG-GN
ABAYE_RS14560-MONOMER	class II glutamine amidotransferase	ABAYE_RS14560	CCI-CYTOSOL-GN
ABAYE_RS18235-MONOMER	inorganic diphosphatase	ABAYE_RS18235	CCI-CYTOSOL-GN
ABAYE_RS13405-MONOMER	2-octaprenyl-6-methoxyphenyl hydroxylase	ABAYE_RS13405	CCI-CYTOSOL-GN
ABAYE_RS13970-MONOMER	alpha/beta hydrolase	ABAYE_RS13970	
ABAYE_RS04100-MONOMER	bifunctional phosphoserine phosphatase/homoserine phosphotransferase ThrH	ABAYE_RS04100	CCI-CYTOSOL-GN
ABAYE_RS00430-MONOMER	hypothetical protein	ABAYE_RS00430	
ABAYE_RS04665-MONOMER	MBL fold metallo-hydrolase	ABAYE_RS04665	
ABAYE_RS16965-MONOMER	MerR family transcriptional regulator	ABAYE_RS16965	CCI-CYTOSOL-GN
ABAYE_RS18670-MONOMER	DUF4902 domain-containing protein	ABAYE_RS18670	
ABAYE_RS08535-MONOMER	Rieske (2Fe-2S) protein	ABAYE_RS08535	CCI-CYTOSOL-GN
ABAYE_RS16115-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS16115	CCI-CYTOSOL-GN
ABAYE_RS06355-MONOMER	U32 family peptidase	ABAYE_RS06355	CCI-CYTOSOL-GN
ABAYE_RS12265-MONOMER	hypothetical protein	ABAYE_RS12265	
ABAYE_RS08690-MONOMER	3-oxoadipate CoA-transferase subunit A	ABAYE_RS08690	CCI-CYTOSOL-GN
ABAYE_RS13365-MONOMER	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	ABAYE_RS13365	CCI-CYTOSOL-GN
ABAYE_RS13565-MONOMER	hypothetical protein	ABAYE_RS13565	
ABAYE_RS16750-MONOMER	glutathione S-transferase family protein	ABAYE_RS16750	CCI-CYTOSOL-GN
ABAYE_RS08720-MONOMER	4-carboxymuconolactone decarboxylase	ABAYE_RS08720	
ABAYE_RS05910-MONOMER	putative histamine N-monooxygenase	ABAYE_RS05910	CCI-CYTOSOL-GN
ABAYE_RS12570-MONOMER	hypothetical protein	ABAYE_RS12570	CCI-PM-BAC-NEG-GN
ABAYE_RS05680-MONOMER	hypothetical protein	ABAYE_RS05680	
ABAYE_RS09790-MONOMER	3-hydroxybutyrate dehydrogenase	ABAYE_RS09790	CCI-CYTOSOL-GN
ABAYE_RS01465-MONOMER	hypothetical protein	ABAYE_RS01465	CCI-PM-BAC-NEG-GN
ABAYE_RS07380-MONOMER	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	ABAYE_RS07380	
ABAYE_RS15280-MONOMER	hypothetical protein	ABAYE_RS15280	
ABAYE_RS06060-MONOMER	MFS transporter	ABAYE_RS06060	CCI-PM-BAC-NEG-GN
ABAYE_RS14590-MONOMER	outer membrane protein	ABAYE_RS14590	CCI-OUTER-MEM-GN
ABAYE_RS14025-MONOMER	hypothetical protein	ABAYE_RS14025	CCI-CYTOSOL-GN
ABAYE_RS06405-MONOMER	DNA-binding response regulator	ABAYE_RS06405	CCI-CYTOSOL-GN
ABAYE_RS16455-MONOMER	DUF839 domain-containing protein	ABAYE_RS16455	CCI-EXTRACELLULAR-GN
ABAYE_RS11420-MONOMER	ArtI protein	ABAYE_RS11420	CCI-PERI-BAC-GN
ABAYE_RS15765-MONOMER	hypothetical protein	ABAYE_RS15765	CCI-CYTOSOL-GN
ABAYE_RS08655-MONOMER	hypothetical protein	ABAYE_RS08655	
ABAYE_RS17430-MONOMER	DNA-binding protein	ABAYE_RS17430	
ABAYE_RS04675-MONOMER	multidrug efflux RND transporter permease subunit	ABAYE_RS04675	CCI-PM-BAC-NEG-GN
ABAYE_RS00930-MONOMER	urocanate hydratase	ABAYE_RS00930	CCI-CYTOSOL-GN
ABAYE_RS13730-MONOMER	hypothetical protein	ABAYE_RS13730	
ABAYE_RS06085-MONOMER	hypothetical protein	ABAYE_RS06085	CCI-PM-BAC-NEG-GN
ABAYE_RS03780-MONOMER	large conductance mechanosensitive channel protein MscL	ABAYE_RS03780	CCI-PM-BAC-NEG-GN
ABAYE_RS05280-MONOMER	GGDEF domain-containing protein	ABAYE_RS05280	CCI-CYTOSOL-GN
